Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,09661,1954,15.6,3.3,15.8,48.4,68.2,94.7,113.9,78.3,22.6,38.6,47.5,12.2,559.1
IDCJAC0001,09661,1955,9.6,122.9,18.5,136.7,78.8,110.6,132.6,187.0,75.2,127.3,11.4,44.0,1054.6
IDCJAC0001,09661,1956,0.0,0.8,57.3,35.8,144.8,131.2,115.2,37.2,64.1,74.1,28.9,31.3,720.7
IDCJAC0001,09661,1957,5.4,5.9,21.2,76.1,99.8,197.0,56.0,108.0,45.5,42.6,2.8,8.9,669.2
IDCJAC0001,09661,1958,22.2,86.4,6.9,57.7,130.3,54.1,195.7,64.5,77.3,48.5,27.1,14.0,784.7
IDCJAC0001,09661,1959,10.7,19.3,8.1,28.5,48.9,105.5,64.6,94.7,71.2,67.6,64.3,33.3,616.7
IDCJAC0001,09661,1960,31.3,13.3,108.1,43.7,110.9,99.8,187.9,43.0,60.8,20.6,15.8,9.9,745.1
IDCJAC0001,09661,1961,41.8,27.3,33.9,149.5,40.3,126.8,150.3,108.7,57.2,41.7,12.2,41.7,831.4
IDCJAC0001,09661,1962,0.6,13.7,6.6,17.9,81.6,117.7,103.6,230.9,61.8,90.2,51.6,26.3,802.5
IDCJAC0001,09661,1963,30.4,13.5,23.7,38.6,161.0,78.5,138.3,125.6,81.6,52.5,24.7,7.0,775.4
IDCJAC0001,09661,1964,5.3,10.0,10.0,38.1,31.1,173.4,205.5,112.7,63.9,112.0,28.5,30.7,821.2
IDCJAC0001,09661,1965,14.0,9.9,74.7,25.6,103.3,100.7,70.5,94.4,66.1,133.8,100.9,79.5,873.4
IDCJAC0001,09661,1966,13.2,30.2,12.5,50.9,54.3,131.1,85.4,54.7,99.1,93.5,18.8,22.1,665.8
IDCJAC0001,09661,1967,8.4,10.4,38.9,46.7,128.7,140.5,168.5,119.5,39.7,63.6,27.9,30.8,823.6
IDCJAC0001,09661,1968,55.8,12.2,58.9,57.4,53.0,129.1,107.0,96.9,113.2,63.1,14.8,6.1,767.5
IDCJAC0001,09661,1969,6.4,2.4,24.2,51.6,47.3,122.5,71.5,58.9,32.5,17.9,89.5,15.8,540.5
IDCJAC0001,09661,1970,1.0,98.3,10.9,76.6,56.9,157.0,98.7,66.5,107.6,39.7,27.9,10.8,751.9
IDCJAC0001,09661,1971,30.0,20.9,48.7,28.4,103.7,63.1,67.3,59.7,139.2,94.2,68.7,31.1,755.0
IDCJAC0001,09661,1972,8.4,4.8,7.7,50.9,39.6,51.6,129.3,101.0,45.9,43.3,3.5,2.1,488.1
IDCJAC0001,09661,1973,5.3,4.8,6.3,51.4,97.8,105.8,125.6,99.8,118.6,73.9,60.2,15.2,764.7
IDCJAC0001,09661,1974,6.0,14.2,13.6,50.4,126.3,78.0,158.2,67.6,45.6,57.0,45.4,3.6,665.9
IDCJAC0001,09661,1975,3.4,8.0,15.0,80.4,119.7,64.2,160.2,66.4,57.4,68.0,36.8,8.2,687.7
IDCJAC0001,09661,1976,66.2,18.0,9.4,107.0,100.8,59.4,70.6,73.0,53.8,81.0,73.6,12.0,724.8
IDCJAC0001,09661,1977,11.8,5.0,10.2,34.4,146.6,96.8,74.6,114.2,55.0,122.8,35.0,27.6,734.0
IDCJAC0001,09661,1978,18.6,37.4,10.4,40.8,101.8,153.4,121.6,46.0,94.4,38.4,27.4,28.2,718.4
IDCJAC0001,09661,1979,14.2,31.0,23.2,25.4,75.0,73.8,109.8,60.8,81.0,64.6,70.4,6.6,635.8
IDCJAC0001,09661,1980,1.6,26.2,5.6,80.4,43.8,92.4,120.2,98.8,62.6,80.8,68.6,14.0,695.0
IDCJAC0001,09661,1981,1.2,2.6,15.0,61.0,82.1,134.0,128.0,126.2,55.2,37.4,75.6,23.2,741.5
IDCJAC0001,09661,1982,123.0,18.0,36.6,4.8,50.2,101.2,99.6,51.4,55.8,32.4,39.4,14.4,626.8
IDCJAC0001,09661,1983,4.4,31.6,2.6,17.8,66.6,129.2,97.4,113.0,124.6,38.8,42.4,26.2,694.6
IDCJAC0001,09661,1984,3.8,17.8,15.0,25.6,150.8,85.2,80.4,132.6,74.0,28.6,85.2,23.0,722.0
IDCJAC0001,09661,1985,27.6,8.2,13.0,80.6,81.1,68.0,96.2,172.0,76.2,41.4,36.4,15.8,716.5
IDCJAC0001,09661,1986,0.6,59.4,28.0,10.0,72.0,64.0,111.2,89.4,75.8,58.0,17.4,4.0,589.8
IDCJAC0001,09661,1987,6.2,0.6,19.6,87.0,87.6,51.6,83.6,58.0,36.0,32.4,60.0,15.8,538.4
IDCJAC0001,09661,1988,9.0,0.6,31.2,26.6,209.8,164.0,108.2,113.2,106.6,52.8,27.4,11.6,861.0
IDCJAC0001,09661,1989,74.4,51.6,4.6,70.0,57.2,60.4,116.0,86.2,60.6,87.4,29.0,8.4,705.8
IDCJAC0001,09661,1990,28.8,27.2,37.4,69.6,50.8,77.0,185.2,69.0,63.2,70.2,49.4,10.6,738.4
IDCJAC0001,09661,1991,14.8,23.2,12.6,31.2,77.4,110.4,144.6,102.2,90.4,25.8,70.0,25.4,728.0
IDCJAC0001,09661,1992,8.4,56.0,18.2,25.0,96.0,92.8,82.2,136.6,90.8,46.4,95.6,29.0,777.0
IDCJAC0001,09661,1993,3.6,4.6,84.4,26.8,122.8,47.6,119.2,103.8,81.2,77.0,35.0,5.0,711.0
