Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,09592,1941,null,11.2,118.6,123.8,144.1,240.8,203.5,117.9,200.0,82.9,57.9,10.7,null
IDCJAC0001,09592,1942,18.1,10.4,70.0,165.5,167.3,337.5,192.0,275.5,213.9,189.1,22.6,45.6,1707.5
IDCJAC0001,09592,1943,29.8,8.1,123.0,84.2,86.7,207.3,272.2,104.2,156.6,27.3,17.2,16.5,1133.1
IDCJAC0001,09592,1944,6.4,6.7,37.6,49.3,184.2,124.2,231.8,140.6,94.1,44.1,54.4,92.3,1065.7
IDCJAC0001,09592,1945,8.2,9.6,46.4,42.9,243.8,365.0,241.4,312.4,203.2,70.4,51.0,71.4,1665.7
IDCJAC0001,09592,1946,11.2,7.9,35.8,59.7,191.8,199.3,356.0,146.5,89.0,36.8,145.8,74.2,1354.0
IDCJAC0001,09592,1947,10.4,17.6,15.6,91.2,251.6,346.7,211.8,137.6,128.9,118.7,52.6,50.1,1432.8
IDCJAC0001,09592,1948,10.5,1.1,21.6,96.4,63.1,160.4,234.0,184.1,193.6,71.1,32.0,71.6,1139.5
IDCJAC0001,09592,1949,28.7,1.1,54.4,148.1,36.2,120.0,269.9,194.4,107.3,153.9,76.8,2.9,1193.7
IDCJAC0001,09592,1950,22.9,14.7,34.1,9.7,146.1,237.6,288.4,170.5,155.5,101.6,74.1,67.2,1322.4
IDCJAC0001,09592,1951,27.9,50.2,12.3,127.4,98.3,219.5,196.2,187.3,76.5,111.9,35.9,69.6,1213.0
IDCJAC0001,09592,1952,18.6,9.4,63.6,28.5,207.5,173.2,143.7,155.7,139.7,103.4,69.6,40.7,1153.6
IDCJAC0001,09592,1953,8.6,57.9,5.2,29.2,173.8,179.1,159.1,103.8,84.5,164.3,100.6,22.1,1088.2
IDCJAC0001,09592,1954,29.2,7.6,40.9,118.0,156.4,128.5,199.5,111.1,74.3,93.2,74.2,32.6,1065.5
IDCJAC0001,09592,1955,42.1,86.4,9.6,174.5,170.0,170.1,257.2,388.2,128.6,177.2,52.1,55.9,1711.9
IDCJAC0001,09592,1956,1.1,3.9,82.6,86.7,336.7,273.4,206.5,83.7,78.6,75.6,45.4,62.5,1336.7
IDCJAC0001,09592,1957,2.6,7.8,27.9,71.6,107.0,351.8,130.4,174.6,97.7,86.4,6.3,17.8,1081.9
IDCJAC0001,09592,1958,14.3,12.5,12.9,56.4,214.5,125.4,379.3,122.1,121.1,72.3,54.8,19.7,1205.3
IDCJAC0001,09592,1959,17.9,8.0,22.6,67.5,87.4,134.3,139.0,130.7,70.5,73.5,94.8,37.4,883.6
IDCJAC0001,09592,1960,49.5,8.7,99.3,63.2,160.9,128.1,315.5,102.4,111.3,43.2,9.9,22.5,1114.5
IDCJAC0001,09592,1961,21.9,22.5,85.9,212.9,103.8,164.9,243.9,188.1,92.4,65.5,53.7,20.4,1275.9
IDCJAC0001,09592,1962,3.4,19.7,22.3,30.4,209.2,193.6,192.7,225.9,112.2,130.9,74.7,67.5,1282.5
IDCJAC0001,09592,1963,80.4,12.1,23.2,65.9,289.7,200.3,265.0,223.1,106.5,84.9,22.4,8.1,1381.6
IDCJAC0001,09592,1964,4.4,12.7,17.4,84.8,74.0,297.7,390.5,207.1,108.4,118.6,52.0,78.3,1445.9
IDCJAC0001,09592,1965,11.7,13.5,128.0,39.7,181.2,235.0,171.2,168.0,113.1,118.0,157.8,67.3,1404.5
IDCJAC0001,09592,1966,36.6,8.7,25.5,47.2,106.5,233.9,195.7,146.9,151.1,68.7,22.9,45.8,1089.5
IDCJAC0001,09592,1967,9.9,10.8,37.9,78.3,253.1,291.5,302.3,164.2,77.2,48.6,47.9,48.4,1370.1
IDCJAC0001,09592,1968,49.5,6.1,64.5,124.5,86.9,178.1,215.4,196.1,148.2,107.9,35.0,10.2,1222.4
IDCJAC0001,09592,1969,17.0,3.8,24.9,126.6,83.0,172.6,146.8,88.3,49.1,13.2,65.7,11.0,802.0
IDCJAC0001,09592,1970,2.6,69.2,8.2,154.7,135.8,357.2,177.4,154.4,125.1,97.4,44.4,12.3,1338.7
IDCJAC0001,09592,1971,34.2,30.0,46.5,58.6,199.2,118.4,150.0,150.7,214.4,174.4,76.2,13.6,1266.2
IDCJAC0001,09592,1972,16.3,7.1,20.6,92.9,61.5,144.6,214.7,191.3,78.6,81.2,10.2,13.8,932.8
IDCJAC0001,09592,1973,29.3,12.8,8.1,146.1,182.9,199.4,312.9,184.5,180.9,90.7,67.5,12.5,1427.6
IDCJAC0001,09592,1974,10.4,47.4,5.1,78.8,174.6,130.3,295.4,146.8,45.4,120.2,69.6,5.6,1129.6
