Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,09172,1972,null,null,null,null,null,null,null,null,null,52.9,1.8,0.0,null
IDCJAC0001,09172,1973,35.1,0.8,0.0,53.2,101.7,219.1,235.9,127.2,174.9,49.2,15.6,0.3,1013.0
IDCJAC0001,09172,1974,0.0,0.2,1.4,69.8,218.3,116.4,284.6,124.2,37.0,null,null,null,null
IDCJAC0001,09172,1975,0.4,0.0,11.4,28.6,97.6,163.8,184.3,89.8,73.8,42.6,20.6,0.6,713.5
IDCJAC0001,09172,1976,23.6,24.2,3.4,80.4,69.1,104.0,76.4,198.0,77.8,51.8,36.4,6.2,751.3
IDCJAC0001,09172,1977,null,0.6,6.4,2.0,113.7,76.4,100.2,170.4,31.8,87.6,5.8,1.0,null
IDCJAC0001,09172,1978,3.4,41.0,6.0,16.4,130.6,190.6,255.6,41.0,99.5,79.6,16.0,15.6,895.3
IDCJAC0001,09172,1979,2.2,8.4,16.2,65.2,82.0,130.6,87.0,101.8,58.0,34.6,30.2,4.0,620.2
IDCJAC0001,09172,1980,0.4,15.8,2.4,91.2,118.4,189.8,191.2,157.9,68.6,55.4,21.4,24.7,937.2
IDCJAC0001,09172,1981,0.0,18.4,9.6,44.4,193.8,172.8,199.4,176.0,104.2,22.8,60.6,8.8,1010.8
IDCJAC0001,09172,1982,135.8,7.8,14.0,0.0,68.2,192.2,217.2,93.2,87.6,42.8,9.0,7.8,875.6
IDCJAC0001,09172,1983,0.4,32.8,5.4,14.5,33.6,341.0,163.8,126.4,116.8,13.2,46.0,49.4,943.3
IDCJAC0001,09172,1984,0.0,3.4,20.1,72.8,207.4,212.8,104.8,166.0,95.1,33.0,72.6,16.6,1004.6
IDCJAC0001,09172,1985,0.0,2.0,3.2,91.3,108.6,171.0,218.4,190.2,62.2,33.8,32.0,4.6,917.3
IDCJAC0001,09172,1986,1.4,105.4,37.0,3.0,184.4,229.4,276.2,181.1,66.0,34.8,29.2,0.2,1148.1
IDCJAC0001,09172,1987,1.8,0.0,17.4,46.6,99.4,189.6,266.2,92.0,65.2,27.2,41.6,24.2,871.2
IDCJAC0001,09172,1988,0.2,0.2,19.0,74.0,223.2,240.0,243.8,119.5,110.9,72.6,20.0,3.5,1126.9
IDCJAC0001,09172,1989,20.6,28.8,4.6,52.6,132.6,55.2,195.8,78.2,75.2,124.6,10.6,11.2,790.0
IDCJAC0001,09172,1990,39.8,8.6,53.4,85.8,41.8,80.2,166.4,107.6,65.6,59.0,12.2,4.8,725.2
IDCJAC0001,09172,1991,0.8,25.0,6.6,57.4,120.8,250.2,151.2,84.4,98.6,38.1,73.0,56.0,962.1
IDCJAC0001,09172,1992,3.0,185.0,83.6,26.0,100.8,239.4,null,null,null,null,null,null,null
IDCJAC0001,09172,1993,null,null,null,null,null,null,null,null,null,null,12.8,0.6,null
IDCJAC0001,09172,1994,0.6,0.8,3.6,1.0,125.0,177.8,171.6,121.8,49.0,16.8,11.4,0.0,679.4
IDCJAC0001,09172,1995,2.0,0.0,2.0,3.6,122.4,96.2,213.2,70.6,70.2,138.6,44.6,10.0,773.4
IDCJAC0001,09172,1996,6.0,4.0,6.4,28.6,60.0,214.4,210.4,125.2,144.4,49.4,47.4,22.0,918.2
IDCJAC0001,09172,1997,1.0,3.0,39.6,13.0,92.8,111.4,118.6,149.0,88.4,30.2,9.6,0.0,656.6
IDCJAC0001,09172,1998,2.8,0.0,53.2,15.6,70.8,151.4,101.0,152.2,108.4,45.8,48.6,8.4,758.2
IDCJAC0001,09172,1999,38.0,0.4,22.4,17.4,111.0,166.0,156.4,174.0,140.8,106.6,13.4,7.6,954.0
IDCJAC0001,09172,2000,137.2,0.0,14.6,78.8,53.4,167.6,275.8,159.8,64.0,3.4,29.6,0.2,984.4
IDCJAC0001,09172,2001,0.4,2.4,4.2,0.2,111.0,80.0,211.6,130.6,114.0,33.0,23.0,5.2,715.6
IDCJAC0001,09172,2002,2.4,0.2,9.0,82.8,59.8,213.2,166.0,81.4,73.6,44.4,23.6,1.6,758.0
IDCJAC0001,09172,2003,1.6,4.2,4.4,64.6,111.2,75.4,158.4,136.2,102.4,22.6,31.8,1.2,714.0
IDCJAC0001,09172,2004,0.0,9.0,0.2,9.4,105.0,150.2,137.6,145.2,43.6,33.6,50.4,1.2,685.4
IDCJAC0001,09172,2005,0.0,0.2,29.2,33.2,222.4,273.0,87.6,105.8,104.4,60.8,21.8,7.4,945.8
IDCJAC0001,09172,2006,33.6,19.0,6.6,29.4,37.4,36.0,96.0,152.6,41.8,23.4,23.0,11.0,509.8
IDCJAC0001,09172,2007,15.8,6.2,9.0,80.0,64.8,101.2,207.8,129.4,107.4,69.2,4.4,21.6,816.8
IDCJAC0001,09172,2008,0.0,65.2,13.2,105.8,70.0,null,203.4,29.6,90.6,29.8,78.6,11.0,null
IDCJAC0001,09172,2009,0.0,15.4,6.2,4.6,51.4,155.0,175.8,136.8,101.2,7.8,33.4,0.0,687.6
IDCJAC0001,09172,2010,0.2,0.0,36.6,49.8,91.0,65.6,106.8,74.6,32.4,21.4,6.6,10.8,495.8
IDCJAC0001,09172,2011,31.4,0.0,0.0,34.2,85.6,203.2,181.0,136.2,114.4,59.0,31.6,39.0,915.6
IDCJAC0001,09172,2012,12.8,16.6,0.2,69.4,53.6,null,null,null,null,null,null,null,null
