Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,014050,2002,null,null,null,null,null,null,null,null,null,null,null,138.1,null
IDCJAC0001,014050,2003,497.1,null,162.6,1.5,0.0,0.0,0.0,0.0,14.0,57.6,163.5,316.8,null
IDCJAC0001,014050,2004,334.2,null,442.2,15.3,76.6,38.0,0.0,0.0,0.0,36.1,46.8,313.6,null
IDCJAC0001,014050,2005,258.7,205.7,169.4,65.8,0.0,0.0,0.0,0.0,23.0,16.0,93.4,187.0,1019.0
IDCJAC0001,014050,2006,383.5,149.5,560.0,null,14.0,0.0,0.0,0.0,6.0,null,13.0,309.0,null
IDCJAC0001,014050,2007,370.5,368.0,571.0,null,24.5,0.5,null,null,53.0,46.0,132.5,239.5,null
IDCJAC0001,014050,2008,419.7,null,124.5,20.0,null,null,null,null,null,null,null,null,null
IDCJAC0001,014050,2010,null,null,null,36.7,49.6,null,null,null,null,null,null,null,null
IDCJAC0001,014050,2011,625.3,1029.3,147.4,160.8,null,null,null,0.2,4.0,70.0,100.6,116.4,null
IDCJAC0001,014050,2012,579.0,82.8,168.4,64.4,48.0,null,null,null,null,null,null,null,null
